姓名,性别,民族,出生年月,籍贯,现任职务,党派,代表团,学历,学位,毕业院校,专业
金育辉,男,汉族,1966年1月,吉林榆树,全国人大代表,中共,吉林,研究生,博士,吉林大学,施工技术与管理专业
金硕仁,男,朝鲜族,1954年4月,吉林汪清,全国人大代表,中共,吉林,研究生,博士,吉林大学,经济管理学院世界经济专业
郑亨日,男,朝鲜族,1966年10月,吉林长白,全国人大代表,中共,吉林,研究生,硕士,新加坡南洋理工大学,管理经济学专业
宝音太,男,蒙古族,1962年12月,吉林省前郭县,全国人大代表,中共,吉林,研究生,硕士,吉林省委党校,经济学专业
房俐,女,汉族,1955年10月,山东潍县,全国人大代表,中共,吉林,研究生,硕士,,
赵静波,男,汉族,1964年10月,辽宁凤城,全国人大代表,中共,吉林,研究生,博士,吉林大学,东北亚研究院人口资源与
荀凤栖,男,汉族,1953年2月,河北广宗,全国人大代表,中共,吉林,研究生,硕士,中央党校研究生院,政治经济学专业
柏广新,男,汉族,1955年3月,山东临沂,全国人大代表,中共,吉林,研究生,博士,中国科学院研究生院,生态学专业
修福金,男,汉族,1950年12月,吉林农安,全国人大常委会委员、全国人大外事委员会副主任委员、全国人大常委会代表资格审查委员会副主任委员，民革中央专职副主席,民革,吉林,研究生,,东北师范大学,世界经济专业
姜治莹,男,汉族,1961年3月,吉林敦化,全国人大代表,中共,吉林,研究生,博士,吉林大学,哲学社会学院马克思主义
洪长有,男,回族,1948年10月,吉林大安,中国伊斯兰教协会副会长，十二届全国人大民族委员会委员,,吉林,大专,,吉林大学（自学考试）,
聂文权,男,汉族,1949年3月,吉林榆树,全国人大代表,中共,吉林,大学本科,学士,吉林农业大学,农经系农业经济管理
徐平,男,汉族,1957年1月,安徽巢湖,全国人大代表,中共,吉林,大学,,合肥工业大学电气工程系发电厂及电力系统专业,
高飞,男,汉族,1959年2月,吉林公主岭,全国人大代表,中共,吉林,大学本科,,吉林省教育学院,政史系政治专业
郭乃硕,男,汉族,1965年8月,河北武安,全国人大代表,民革,吉林,研究生,博士,东北师范大学,政法学院法学专业
唐宪强,男,汉族,1947年10月,山东泗水,全国人大代表,中共,吉林,大专,,中央党校,进修部干部大专文化进修班
彭永林,男,汉族,1961年1月,山东掖县,全国人大代表,中共,吉林,研究生,博士,东北师范大学,城市与环境科学学院环境科学专业
蒋超良,男,汉族,1957年8月,湖南汨罗,全国人大代表,中共,吉林,研究生,硕士,西南财经大学,货币银行学
谢忠岩,男,汉族,1969年5月,吉林乾安,全国人大代表,中共,吉林,研究生,博士,中国科学院长春地理研究所,环境科学专业
熊梅,女,汉族,1964年4月,贵州铜仁,全国人大代表,中共,吉林,研究生,教育学博士,东北师范大学教育科学学院,教育学原理专业
潘永兴,男,汉族,1960年4月,山东招远,全国人大代表,中共,吉林,研究生,博士,东北师范大学,教育科学学院教育学原理专业
王月清,女,汉族,1966年7月,山东齐河,全国人大代表,中共,黑龙江,大学,,黑龙江省行政管理学院,法律
王东华,男,汉族,1950年6月,江苏泗洪,全国人大代表,中共,黑龙江,研究生,工学硕士,哈尔滨工业大学管理学院,技术经济
王冬光,男,汉族,1961年12月,黑龙江肇东,全国人大代表,中共,黑龙江,研究生,博士,哈尔滨建筑工程大学,供热通风与空调工程
王庆江,男,汉族,1956年3月,黑龙江延寿,全国人大代表,中共,黑龙江,研究生,硕士,黑龙江大学,政治经济学
王丽梅,女,汉族,1962年8月,山东寿光,全国人大代表,中共,黑龙江,研究生,工商管理硕士,北京大学光华管理学院,工商管理
王佐书,男,汉族,1947年9月,北京,全国人大常委会委员、全国人大教育科学文化卫生委员会副主任委员，民进中央专职副主席,民进,黑龙江,大学,,哈尔滨师范大学,化学
王金会,男,汉族,1960年8月,辽宁昌图,全国人大代表,中共,黑龙江,大学,,黑龙江八一农垦大学,农学
王波,女,汉族,1964年3月,黑龙江哈尔滨,全国人大代表,中共,黑龙江,研究生,工学硕士,哈尔滨工业大学,机械制造及自动化
王津,男,汉族,1954年2月,浙江长兴,全国人大代表,中共,黑龙江,研究生,工商管理硕士,亚洲（澳门）国际公开大学,工商管理
王宪魁,男,汉族,1952年7月,河北沧县,全国人大代表,中共,黑龙江,研究生,,中央党校,经济管理
王景海,男,汉族,1961年8月,辽宁昌图,全国人大代表,中共,黑龙江,研究生,,黑龙江省委党校,经济管理
王颖,女,汉族,1953年10月,江苏江都,全国人大代表,中共,黑龙江,研究生,高级工商管理硕士,哈尔滨工业大学,工商管理
王殿贵,男,汉族,1957年2月,山东邺县,全国人大代表,中共,黑龙江,研究生,硕士,东北师范大学,经济管理
方同华,男,汉族,1963年6月,安徽亳州,全国人大代表,民进,黑龙江,大学,学士,哈尔滨工业大学,经济管理
付华廷,男,汉族,1947年10月,山东临沂,全国人大代表,中共,黑龙江,大专,,齐齐哈尔农学院,经济管理
冯燕,女,汉族,1961年12月,山东莱州,全国人大代表,中共,黑龙江,大学,,哈尔滨建筑大学,工民建
吉炳轩,男,汉族,1951年11月,河南孟津,中共十八届中央委员，全国人大常委会副委员长,中共,黑龙江,大学普通班,,郑州大学,中文
朴广钟,男,朝鲜族,1970年9月,黑龙江,全国人大代表,,黑龙江,大学,经济学学士,哈尔滨船舶学院,经济学
刘东辉,男,汉族,1948年12月,黑龙江兰西,全国人大代表,中共,黑龙江,研究生,哲学博士,黑龙江大学,马克思主义哲学
刘忻,男,汉族,1965年1月,陕西西安,全国人大代表,中共,黑龙江,研究生,工学博士,,
刘蕾,女,赫哲族,1984年10月,山东曹县,全国人大代表,中共,黑龙江,大专,,佳木斯大学,文秘
关彦斌,男,满族,1954年10月,黑龙江五常,全国人大代表,中共,黑龙江,大专,,黑龙江省委党校,经济管理
那辉,女,满族,1966年1月,辽宁沈阳,全国人大代表,中共,黑龙江,高中,,,
孙喆,男,汉族,1963年10月,山东龙口,全国人大代表,中共,黑龙江,研究生,工学博士,哈尔滨建筑大学,市政工程
孙斌,男,汉族,1965年4月,辽宁本溪,全国人大代表,中共,黑龙江,中专,,中央农业广播学校,农学
苏艳霞,女,汉族,1970年3月,黑龙江肇东,全国人大代表,民盟,黑龙江,大学,农学学士,吉林农业大学,农学
李亚兰,女,汉族,1963年8月,山东海阳,全国人大代表,,黑龙江,研究生,,中国政法大学,宪法与行政法
李延芝,女,汉族,1950年1月,辽宁盖州,全国人大代表,中共,黑龙江,研究生,经济学学士,黑龙江省委党校；黑龙江大学,工商行政管理；金融
李庆河,男,汉族,1968年11月,山东肥城,全国人大代表,,黑龙江,大专,,大庆石化总厂职工大学,
李泽林,男,汉族,1959年10月,河北,全国人大代表,中共,黑龙江,研究生,法学博士,中国政法大学,民商法
李勇,男,汉族,1963年9月,山西运城,全国人大代表,中共,黑龙江,研究生,经济学博士,德国不莱梅大学,经济学
李海涛,男,汉族,1963年9月,黑龙江巴彦,全国人大代表,中共,黑龙江,研究生,高级工商管理硕士,哈尔滨工业大学,高级管理人员工商管理
李培忠,男,汉族,1967年9月,黑龙江哈尔滨,全国人大代表,中共,黑龙江,大学,,黑龙江省委党校,法律
杨天夫,男,汉族,1961年6月,黑龙江哈尔滨,全国人大代表,,黑龙江,研究生,硕士,浙江大学,电气自动化
杨孝义,男,汉族,1959年3月,辽宁抚顺,全国人大代表,中共,黑龙江,研究生,高级工商管理硕士,哈尔滨工业大学,高级工商管理
杨汭,男,汉族,1959年1月,河北霸州,全国人大代表,中共,黑龙江,研究生,博士,,
杨震,男,汉族,1952年11月,黑龙江哈尔滨,全国人大代表,中共,黑龙江,研究生,博士,黑龙江大学,马克思主义哲学
宋希斌,男,汉族,1963年4月,山东蓬莱,全国人大代表,中共,黑龙江,研究生,经济学硕士,哈尔滨工程大学,产业经济学
张日红,女,朝鲜族,1968年8月,黑龙江绥化,全国人大代表,,黑龙江,研究生,,吉林大学,企业管理
张升,男,汉族,1960年4月,山东黄县,全国人大代表,中共,黑龙江,大学,硕士,哈尔滨工业大学,高级工商管理
张亚英,女,汉族,1964年3月,黑龙江密山,全国人大代表,中共,黑龙江,研究生,,辽宁师范大学,教育管理
张志祥,男,汉族,1967年8月,浙江上虞,全国人大代表,,黑龙江,研究生,工学博士,东北大学,钢铁冶金
张伯里,男,汉族,1954年10月,河北辛集,全国人大法律委员会委员（中央党校原副校长）,中共,黑龙江,研究生,经济学硕士,中央党校理论部,政治经济学
张述元,男,汉族,1956年11月,山东梁山,全国人大代表,中共,黑龙江,研究生,法学博士,中国政法大学研究生院,刑法专业
张雨浦,男,回族,1962年8月,山东长清,全国人大代表,中共,黑龙江,研究生,高级工商管理硕士,哈尔滨工业大学,高级管理人员工商管理
张宝文,男,汉族,1946年11月,陕西兴平,全国人大常委会副委员长，民盟中央主席,民盟,黑龙江,大学,,西安外国语学院,英语
张恩亮,男,满族,1970年1月,黑龙江望奎,全国人大代表,中共,黑龙江,研究生,,中央党校,经济管理
张常荣,男,汉族,1963年8月,黑龙江宾县,全国人大代表,中共,黑龙江,研究生,硕士,,
陆昊,男,汉族,1967年6月,上海,全国人大代表,中共,黑龙江,研究生,经济学硕士,北京大学,国民经济计划与管理
陆标,男,汉族,1963年4月,辽宁营口,全国人大代表,中共,黑龙江,研究生,经济学硕士,清华大学,经济学
陈述涛,男,满族,1950年8月,辽宁法库,全国人大常委会委员，农工党中央副主席、黑龙江省主委，黑龙江省人大常委会副主任,农工党,黑龙江,研究生,数学博士,哈尔滨工业大学,泛函分析
武凤呈,男,汉族,1958年11月,黑龙江宝清,全国人大代表,中共,黑龙江,大学,高级工商管理硕士,哈尔滨工业大学,高级管理人员工商管理
林宽海,男,汉族,1965年10月,江苏高邮,全国人大代表,中共,黑龙江,研究生,高级工商管理硕士,东北财经大学,高级管理人员工商管理
易连军,女,汉族,1954年8月,辽宁,全国人大代表,,黑龙江,大专,,牡丹江医学院,护理
罗涛,男,汉族,1953年7月,山东邹平,全国人大代表,中共,黑龙江,大专,,北京广播电视大学,工业企业经营管理
岳国君,男,汉族,1963年4月,吉林农安,全国人大代表,中共,黑龙江,研究生,工学博士,北京化工学院,化学工程与技术
周玉环,女,汉族,1954年11月,山东东平,全国人大代表,中共,黑龙江,大学,,黑龙江省委党校,法律
周有财,男,汉族,1958年7月,黑龙江庆安,全国人大代表,中共,黑龙江,研究生,医学博士,黑龙江中医药大学,管理工程
郑功成,男,汉族,1964年9月,湖南平江,全国人大常委会委员、全国人大内务司法委员会委员，民盟中央常委、社会委员会主任，中国社会保障学会会长，中国人民大学校务委员会副主任,民盟,黑龙江,大学,,武汉大学,政治经济学
孟建柱,男,汉族,1947年7月,江苏吴县,全国人大代表,中共,黑龙江,研究生,工学硕士,上海机械学院,系统工程
赵少华,女,满族,1952年11月,北京,全国人大常委会委员、全国人大外事委员会副主任委员，国家艺术基金理事会副理事长兼秘书长,中共,黑龙江,研究生,,湖南大学国际商学院,工业外贸
赵君,男,汉族,1957年10月,辽宁复县,全国人大代表,中共,黑龙江,大学,学士,黑龙江省经济管理干部学院,企业管理
赵革,男,汉族,1970年4月,黑龙江海伦,全国人大代表,中共,黑龙江,研究生,经济学硕士,黑龙江大学,经济学
赵敏,女,汉族,1956年4月,河北曲阳,全国人大代表,中共,黑龙江,研究生,博士,哈尔滨工业大学,金属材料及热处理专业
姜万春,男,汉族,1956年3月,山东青岛,全国人大代表,中共,黑龙江,大学,工学学士,交通部呼和浩特交通学院（大学班）,汽车运用工程
费聿玲,女,汉族,1971年1月,山东日照,全国人大代表,中共,黑龙江,大学,,黑龙江省委党校,中文
夏立华,女,汉族,1960年7月,黑龙江勃利,全国人大代表,中共,黑龙江,大学,高级工商管理硕士,哈尔滨师范大学,汉语言文学
夏向庆,男,汉族,1955年9月,山东荣成,全国人大代表,中共,黑龙江,大学,,国防大学研究生课程进修班,军事战略学
徐明,男,汉族,1956年11月,吉林永吉,全国人大代表,中共,黑龙江,大学,法学学士,北京政法学,法律专业
殷秀梅,女,汉族,1956年1月,山东平阴,全国人大代表,,黑龙江,大专,,中央音乐学院,歌剧
高广生,男,汉族,1958年8月,山东蓬莱,全国人大代表,,黑龙江,研究生,硕士,黑龙江中医药大学,中西医结合临床
高永,男,汉族,1975年6月,黑龙江拜泉,全国人大代表,民盟,黑龙江,大专,,黑龙江省委党校,经济管理
高志杰,男,汉族,1956年1月,山东莱芜,全国人大代表,中共,黑龙江,研究生,,中央党校,哲学
高环,女,汉族,1965年1月,黑龙江讷河,全国人大代表,中共,黑龙江,研究生,管理学博士,东北林业大学,林业经济管理
高春艳,女,汉族,1964年5月,辽宁海城,全国人大代表,中共,黑龙江,大学,学士,东北农业大学,园艺
郭新双,男,汉族,1963年11月,河南新野,全国人大代表,中共,黑龙江,研究生,经济学博士,吉林大学,世界经济
梅章记,男,满族,1962年8月,山东郓城,全国人大代表,,黑龙江,大学,,东北农业大学,农业经济
崔龙吉,男,朝鲜族,1953年8月,黑龙江东宁,全国人大代表,中共,黑龙江,大专,,牡丹江师范学院,经济管理
符凤春,女,汉族,1954年3月,黑龙江鸡西,全国人大代表,中共,黑龙江,研究生,,中央党校,法学理论、马克思主义哲学
隋熙明,男,汉族,1957年8月,山东文登,全国人大代表,,黑龙江,研究生,硕士,哈尔滨工业大学,工商管理
董配永,男,汉族,1963年9月,河北滦县,全国人大代表,致公党,黑龙江,大学,,北京现代管理学院,市场营销
董辉,男,蒙古族,1973年10月,黑龙江杜尔伯特,全国人大代表,中共,黑龙江,研究生,管理学硕士,哈尔滨理工大学,管理科学与工程
韩冬炎,男,汉族,1963年4月,黑龙江庆安,全国人大代表,中共,黑龙江,研究生,管理学博士,哈尔滨工程大学,经济管理学院管理学与工程
韩立华,男,汉族,1963年11月,黑龙江兰西,全国人大代表,中共,黑龙江,研究生,管理学博士,东北师范大学,人文地理
焦云,男,汉族,1956年2月,吉林榆树,全国人大代表,民建,黑龙江,大学,,清华大学,企业管理
静波,男,汉族,1963年3月,黑龙江肇源,全国人大代表,,黑龙江,研究生,,中国佛学院,佛学
谭志娟,女,汉族,1957年7月,黑龙江讷河,全国人大代表,中共,黑龙江,大学,,东北农业大学,农学
翟友财,男,汉族,1970年7月,吉林长春,全国人大代表,中共,黑龙江,大专,,黑龙江省委党校,法律
习近平,男,汉族,1953年6月,上海,全国人大代表,中共,上海,在职研究生,法学博士,清华大学,马克思主义理论与思想政治教育
马须伦,男,汉族,1964年7月,河南商丘,全国人大代表,中共,上海,中央党校研究生,工程硕士,中央党校,经济管理专业
马兰,女,汉族,1958年9月,山西平定,全国人大代表,,上海,研究生,理学博士,美国北卡罗纳大学,生物化学专业
王乃坤,女,汉族,1953年9月,天津市,全国人大常委会委员、全国人大内务司法委员会委员，中国残疾人联合会副主席（副部长级）,中共,上海,中央党校研究生,,中央党校,
王均金,男,汉族,1968年12月,浙江温州,全国人大代表,,上海,,,普通高中,
王战,男,汉族,1952年2月,浙江宁海,全国人大代表,中共,上海,大学,经济学学士,复旦大学,世界经济系世界经济学专业
王霞,女,蒙古族,1964年6月,辽宁彰武,全国人大代表,,上海,大学,工学学士,华南工学院,化工机械专业
冯英,女,汉族,1963年2月,山东掖县,全国人大代表,,上海,中专,,北京舞蹈学校,芭蕾舞
朱之文,男,汉族,1958年10月,福建东山,全国人大教科文卫委委员，教育部党组成员、副部长,中共,上海,大学,经济学学士,厦门大学,财务会计专业
朱志远,男,汉族,1959年10月,江苏盱眙,全国人大代表,中共,上海,研究生,理学博士,联邦德国慕尼黑大学,理论核物理专业
朱国萍,女,汉族,1957年11月,江苏南通,,中共,上海,在职大专,全国人大代表,空军指挥学院,经济管理专业
朱雪芹,女,汉族,1977年10月,江苏睢宁,全国人大代表,中共,上海,在职大专,,上海电视大学,工商管理专业
刘卫国,男,汉族,1955年1月,江苏无锡,全国人大代表,中共,上海,在职研究生,,上海大学,管理工程专业
许宁生,男,汉族,1957年7月,广东汕头,全国人大代表,中共,上海,研究生,理学博士,英国阿斯顿大学,物理专业
许罗德,男,汉族,1962年4月,湖南湘阴,全国人大代表,中共,上海,大学,经济学学士,湖南财经学院,工业会计专业
孙宪忠,男,汉族,1957年1月,陕西长安,全国人大代表,中共,上海,,法学博士,中国社会科学院,法学
孙跃明,男,汉族,1963年12月,上海,全国人大代表,中共,上海,在职大学,,中央党校,公共管理专业
芮跃华,男,汉族,1958年11月,江苏溧阳,全国人大代表,中共,上海,博士研究生,经济学博士,西南财经大学,财政学专业
花蓓,女,回族,1968年5月,江苏镇江,全国人大代表,民盟,上海,大学,公共管理硕士,上海师范大学,历史学专业
严诚忠,男,汉族,1946年4月,浙江镇海,全国人大代表,民革,上海,研究生,经济学硕士,上海社会科学院,工业经济专业
李玉赋,男,汉族,1954年10月,江苏苏州,全国人大代表,中共,上海,,,,
李扬,男,汉族,1958年6月,福建南安,全国人大代表,中共,上海,,,北京广播学院,
李林,男,汉族,1961年5月,山东荣成,全国人大代表,,上海,研究生,理学博士,中国科学院上海生化所,生物化学与分子生物学专业
李斌,男,汉族,1960年5月,江苏徐州,全国人大代表,中共,上海,在职大学,工学学士,上海第二工业大学,机械电子工程专业
李碧影,女,汉族,1959年10月,台湾台中,全国人大代表,台盟,上海,在职大学,法学学士,北京大学,法学专业
杨迈军,男,白族,1956年10月,云南大理,全国人大代表,中共,上海,在职研究生,哲学博士,中国社会科学院,马克思主义哲学专业
杨雄,男,汉族,1953年11月,浙江杭州,全国人大代表,中共,上海,研究生,经济学硕士,中国社会科学院,林业经济专业
何文波,男,满族,1955年6月,辽宁盖县,全国人大代表,中共,上海,大学,工商管理硕士,东北工学院,轧钢专业
应勇,男,汉族,1957年11月,浙江仙居,全国人大代表,中共,上海,在职大学,法学硕士,浙江大学,行政管理学专业
沈志刚,男,汉族,1959年12月,河北邢台,全国人大代表,中共,上海,研究生,工学博士,德国慕尼黑国防大学,流体力学专业
张全,男,汉族,1964年1月,江苏扬州,全国人大代表,农工党,上海,大学,工学学士,清华大学,环境工程专业
张兆安,男,汉族,1959年1月,浙江慈溪,全国人大代表,民建,上海,在职研究生,经济学博士,上海社会科学院,经济学专业
张维华,男,汉族,1960年7月,江苏淮阴,全国人大代表,中共,上海,在职研究生,管理学博士,复旦大学,管理科学专业
陈戌源,男,汉族,1956年7月,上海,全国人大代表,中共,上海,在职大专,,中央团校,政教专业
陈旭,男,汉族,1952年10月,上海,全国人大代表,中共,上海,在职研究生,工学硕士,上海大学,管理工程专业
陈和生,男,汉族,1946年8月,福建福州,全国人大代表,中共,上海,,工学博士,美国麻省理工学院,物理
陈振楼,男,汉族,1964年12月,上海,全国人大代表,民进,上海,研究生,理学博士,中国科学院环境地球化学研究所,环境地球化学专业
陈晶莹,女,汉族,1960年11月,福建漳州,全国人大代表,农工党,上海,研究生,经济学学士,上海海运学院,国际经济法专业
邵志清,男,汉族,1966年3月,江苏常熟,全国人大代表,致公党,上海,研究生,工学博士,中国科学院软件研究所,基础数学专业
林荫茂,女,汉族,1956年8月,江苏镇江,全国人大代表,,上海,大专,,上海师范学院,中文专业
金东寒,男,汉族,1961年1月,浙江新昌,全国人大代表,中共,上海,研究生,工学博士,中国船舶重工集团公司第七一一研究所,船舶内燃机专业
金锋,男,汉族,1966年9月,江苏南京,全国人大代表,中共,上海,在职大专,,空军后勤学院,经济管理专业
周振波,男,汉族,1976年5月,河北广平,全国人大代表,中共,上海,初中,,,
施超,男,汉族,1960年7月,上海,全国人大代表,中共,上海,在职大学,,解放军南京政治学院,经济管理专业
姚海同,男,汉族,1953年11月,浙江上虞,全国人大代表,中共,上海,在职大学,工商管理硕士,上海市委党校,经济管理专业
贾伟平,女,汉族,1956年11月,江苏镇江,全国人大代表,九三学社,上海,研究生,医学博士,西安医科大学,内分泌代谢专业
顾晋,男,汉族,1959年2月,上海市,全国人大代表,农工党,上海,,医学硕士,北京医科大学,北京医科大学临床医学
顾逸东,男,汉族,1946年9月,上海市,全国人大环境与资源保护委员会委员，中国科学院空间应用工程与技术中心高级顾问，中国科学院院士,中共,上海,,,清华大学,工程物理系
徐小平,男,汉族,1960年8月,上海,全国人大代表,中共,上海,在职大专,,中国计算机函授学院,计算机及其应用专业
徐泽洲,男,汉族,1958年11月,江苏泰兴,全国人大代表,中共,上海,大学,,南京大学哲学系,哲学
徐麟,男,汉族,1963年6月,上海,全国人大代表,中共,上海,在职大学,工商管理硕士,解放军南京政治学院上海分院继续教育学院,经济管理专业
殷一璀,女,汉族,1955年1月,浙江苍南,全国人大代表,中共,上海,在职研究生,法学硕士,华东师范大学国际问题研究所,国际共运专业
奚美娟,女,汉族,1955年4月,上海,全国人大代表,中共,上海,大学普通班,,上海戏剧学院,表演专业
黄迪南,男,汉族,1966年12月,浙江余姚,全国人大代表,中共,上海,研究生,工学硕士,清华大学,同位素分离专业
曹可凡,男,汉族,1963年7月,上海,全国人大代表,中共,上海,研究生,医学硕士,上海第二医科大学,组织胚胎学专业
盛亚飞,男,汉族,1956年7月,上海,全国人大代表,中共,上海,大学,农学学士,上海农学院,园林专业
葛俊杰,男,汉族,1959年10月,上海,全国人大代表,民建,上海,在职大专,工商管理硕士,上海财经大学夜大学,商业经济专业
韩正,男,汉族,1954年4月,浙江慈溪,全国人大代表,中共,上海,在职研究生,经济学硕士,华东师范大学,国际关系与世界经济
骞芳莉,女,汉族,1963年4月,陕西西安,全国人大财政经济委员会委员、民建中央委员、企业委员会副主任，商务部中国服务外包研究中心主任,民建,上海,在职研究生,工商管理硕士,西安交通大学,工商管理
廖昌永,男,汉族,1968年10月,四川郫县,全国人大教育科学文化卫生委员会委员，九三学社中央委员，上海音乐学院副院长、声乐歌剧系系主任,九三学社,上海,研究生,文学硕士,上海音乐学院,声乐专业
樊芸,女,汉族,1964年1月,上海,全国人大代表,,上海,在职研究生,管理学硕士,南开大学,经济管理专业
潘学先,男,汉族,1962年2月,湖南汨罗,全国人大代表,中共,上海,研究生,哲学硕士,华南理工大学,自然辩证法
魏佑江,男,汉族,1957年9月,山东莱芜,全国人大代表,中共,上海,在职大学,,解放军军械工程学院,军械管理专业
丁荣余,男,汉族,1968年02月,江苏高邮,全国人大代表,中共,江苏,研究生,管理学博士,山东大学,马克思主义哲学专业
王芳,女,汉族,1963年04月,江苏苏州,全国人大代表,民盟,江苏,大专,,南京艺术学院,表演系
王咏红,女,汉族,1957年07月,河北束鹿,全国人大代表,中共,江苏,研究生,管理学博士,南京农业大学经贸学院,经济管理专业
王燕文,女,汉族,1960年04月,山东莱芜,全国人大代表,中共,江苏,研究生,,江苏省委党校,政治经济学专业
白力群,男,汉族,1957年10月,江苏涟水,全国人大代表,中共,江苏,大学,工学学士,大连海运学院航海系,海洋船舶驾驶专业
毕于瑞,男,汉族,1965年12月,江苏丰县,全国人大代表,中共,江苏,研究生,工程硕士,中国矿业大学,建筑与土木工程专业
朱民,男,汉族,1963年09月,江苏昆山,全国人大代表,中共,江苏,研究生,经济学硕士,复旦大学,经济学系政治经济学专业
朱国平,男,汉族,1960年06月,江苏丹阳,全国人大代表,中共,江苏,大专,,南京理工大学,工商管理专业
朱晓明,女,汉族,1960年10月,江苏镇江,全国人大代表,中共,江苏,研究生,,江苏省委党校,政治经济学专业
庄毓敏,女,汉族,1962年07月,辽宁东营,全国人大代表,空,江苏,研究生,经济学博士,中国人民大学财政金融学院,经济学专业
刘锦兰,男,汉族,1950年02月,江苏兴化,全国人大代表,中共,江苏,大学,,扬州农业学校,电力专业
许前飞,男,汉族,1955年10月,河南孟津,全国人大代表,中共,江苏,研究生,法学博士,武汉大学法律系,国际法专业
孙国庆,女,汉族,1959年10月,江苏淮安,全国人大代表,中共,江苏,高中,,,
严隽琪,女,汉族,1946年08月,江苏苏州,全国人大常委会副委员长，民进中央主席，中央社会主义学院院长,民进,江苏,研究生,工学博士,上海交通大学机械工程系,
李小敏,男,汉族,1959年05月,山东莱阳,全国人大代表,中共,江苏,研究生,法学博士,南京大学,社会学院社会学专业
李学勇,男,汉族,1950年09月,河北石家庄,中共中央委员，全国人大财政经济委员会副主任委员（正部长级）,中共,江苏,大学,工学学士,北京化工学院,高分子系高分子化工专业
李智勇,男,汉族,1953年01月,江苏扬州,全国人大常委会委员，中央国家机关工委主持常务工作的副书记（正部长级）,中共,江苏,研究生,历史学博士,华中师范大学,中国近现代史专业
杨群,男,汉族,1959年05月,江苏海门,全国人大常委会委员，中央国家机关工委主持常务工作的副书记（正部长级）,九三学社,江苏,研究生,理学博士,美国得克萨斯大学,地质科学系古生物专业
吴沛良,男,汉族,1958年01月,江苏启东,全国人大代表,中共,江苏,研究生,管理学博士,南京农学院,农学系作物遗传育种专业
何权,男,汉族,1952年12月,江苏宝应,全国人大代表,中共,江苏,大学普通班,经济学硕士,南京师范学院,中文系
余瑞玉,女,汉族,1960年01月,江苏句容,全国人大代表,民建,江苏,大学,经济学学士,江西财经学院,财政金融系财政专业
沈进进,男,汉族,1960年07月,江苏淮安,全国人大代表,农工党,江苏,大学,医学学士,南京医学院卫生系,卫生专业
张元贵,男,汉族,1961年09月,江苏淮安,全国人大代表,中共,江苏,大学,,江苏教育学院,物理系物理专业
张秋香,女,汉族,1984年09月,江苏如东,全国人大代表,中共,江苏,大学,工学学士,徐州师范大学,电气工程及自动化学院自动化专业
陆春云,男,汉族,1963年01月,江苏苏州,全国人大代表,中共,江苏,研究生,,省委党校,政治经济学专业
陈若琳,女,汉族,1992年12月,江苏南通,全国人大代表,空,江苏,高中,,,
陈骏,男,汉族,1954年11月,江苏扬州,全国人大代表,中共,江苏,研究生,理学博士,南京大学,地质学系矿床学专业
陈静瑜,男,汉族,1963年03月,江苏无锡,全国人大代表,中共,江苏,大学,医学学士,苏州医学院,医学系医学专业
苗毅,男,汉族,1954年02月,山东日照,全国人大代表,空,江苏,研究生,医学博士,比利时鲁汶大学,肝肿瘤射频治疗专业
易红,男,汉族,1963年04月,重庆,全国人大代表,中共,江苏,研究生,工学博士,清华大学精密仪器与机械学系,机械制造及其自动化专业
金征宇,男,汉族,1960年05月,江苏扬州,全国人大代表,民盟,江苏,研究生,工学博士,无锡轻工业学院,食品工程系食品工程专业
周岚,女,汉族,1965年11月,江苏南京,全国人大代表,空,江苏,研究生,工学博士,同济大学建筑与城市规划学院,规划系城市规划与设计专业
周素明,男,汉族,1962年02月,江苏涟水,全国人大代表,中共,江苏,中央党校大学,工商管理硕士,中央党校，清华大学,经济管理专业，工商管理专业
赵日峰,男,汉族,1963年01月,江苏建湖,全国人大代表,中共,江苏,大学,工商管理硕士,华东化工学院化学工程二系,石油炼制工程专业
胡明,女,汉族,1967年02月,江苏溧阳,全国人大代表,空,江苏,初中,,,
宣晓泉,男,汉族,1968年03月,江苏徐州,全国人大代表,中共,江苏,大学本科,工商管理硕士,无锡轻工业学院,发酵工程系发酵工程专业
秦真岭,男,汉族,1967年10月,江苏沛县,全国人大代表,中共,江苏,大专,,长春建筑工业学院,工民建专业
钱月宝,女,汉族,1949年01月,江苏常熟,全国人大代表,中共,江苏,在职大专,,,
徐一平,男,汉族,1960年10月,江苏无锡,全国人大代表,中共,江苏,研究生,经济学硕士,复旦大学,经济学系政治经济学专业
徐如俊,男,汉族,1955年11月,江苏兴化,全国人大财政经济委员会委员，经济日报社社长,中共,江苏,大学普通班,,复旦大学新闻系,新闻专业
徐郭平,男,汉族,1962年01月,江苏泰兴,全国人大代表,中共,江苏,研究生,工学博士,华东工学院化学工程系,化学工程系含能材料专业
高德康,男,汉族,1952年01月,江苏常熟,全国人大代表,中共,江苏,高中,,,
盛光祖,男,汉族,1949年04月,江苏南京,全国人大常委会委员、中国铁路总公司总经理、党组书记,中共,江苏,大学普通班,,上海铁道学院工程系,铁道工程专业
崔根良,男,汉族,1958年05月,江苏苏州,全国人大代表,中共,江苏,高中,,,
董才平,男,汉族,1963年07月,江苏常州,全国人大代表,中共,江苏,中央党校大学,,中央党校函授学院,经济管理专业
